
step 0: train loss 6.1854 BPC, val loss 6.1780 BPC
iter 880: loss 1.9849 BPC, time 47.49ms, mfu 7.69%
iter 890: loss 1.9973 BPC, time 47.25ms, mfu 7.71%
iter 900: loss 1.9851 BPC, time 47.30ms, mfu 7.73%
iter 910: loss 1.9033 BPC, time 47.40ms, mfu 7.74%
iter 920: loss 1.9639 BPC, time 47.11ms, mfu 7.76%
iter 930: loss 1.9626 BPC, time 47.35ms, mfu 7.77%
iter 940: loss 1.9326 BPC, time 47.27ms, mfu 7.78%
iter 950: loss 1.9553 BPC, time 47.31ms, mfu 7.79%
iter 960: loss 1.9599 BPC, time 47.58ms, mfu 7.79%
iter 970: loss 1.9472 BPC, time 47.27ms, mfu 7.80%
iter 980: loss 1.9588 BPC, time 47.30ms, mfu 7.81%
iter 990: loss 1.9325 BPC, time 47.44ms, mfu 7.82%
step 1000: train loss 1.8293 BPC, val loss 2.1855 BPC
saving checkpoint to out-shakespeare-char
iter 1000: loss 1.9222 BPC, time 7002.77ms, mfu 7.04%
iter 1010: loss 1.9279 BPC, time 47.38ms, mfu 7.12%
iter 1020: loss 1.8890 BPC, time 47.57ms, mfu 7.19%
iter 1030: loss 1.9302 BPC, time 46.79ms, mfu 7.27%
iter 1040: loss 1.9631 BPC, time 47.55ms, mfu 7.33%
iter 1050: loss 1.8657 BPC, time 47.46ms, mfu 7.38%
iter 1060: loss 1.9310 BPC, time 47.99ms, mfu 7.42%
iter 1070: loss 1.9243 BPC, time 48.43ms, mfu 7.45%
iter 1080: loss 1.9335 BPC, time 47.29ms, mfu 7.49%
iter 1090: loss 1.9406 BPC, time 47.82ms, mfu 7.52%
iter 1100: loss 1.9075 BPC, time 48.21ms, mfu 7.54%
iter 1110: loss 1.8783 BPC, time 47.67ms, mfu 7.57%
iter 1120: loss 1.8604 BPC, time 48.26ms, mfu 7.58%
iter 1130: loss 1.8637 BPC, time 48.24ms, mfu 7.60%
iter 1140: loss 1.8702 BPC, time 48.44ms, mfu 7.61%
iter 1150: loss 1.8888 BPC, time 48.22ms, mfu 7.62%
iter 1160: loss 1.9130 BPC, time 48.36ms, mfu 7.63%
iter 1170: loss 1.8729 BPC, time 48.30ms, mfu 7.64%
iter 1180: loss 1.9012 BPC, time 48.74ms, mfu 7.64%
iter 1190: loss 1.8340 BPC, time 48.44ms, mfu 7.64%
iter 1200: loss 1.8625 BPC, time 48.27ms, mfu 7.65%
iter 1210: loss 1.8286 BPC, time 48.40ms, mfu 7.66%
iter 1220: loss 1.8843 BPC, time 48.48ms, mfu 7.66%
iter 1230: loss 1.8739 BPC, time 47.80ms, mfu 7.67%
iter 1240: loss 1.8695 BPC, time 48.26ms, mfu 7.68%
step 1250: train loss 1.7377 BPC, val loss 2.1653 BPC
saving checkpoint to out-shakespeare-char
iter 1250: loss 1.8422 BPC, time 7178.80ms, mfu 6.91%
iter 1260: loss 1.8507 BPC, time 48.33ms, mfu 6.99%
iter 1270: loss 1.8329 BPC, time 48.73ms, mfu 7.06%
iter 1280: loss 1.8156 BPC, time 48.10ms, mfu 7.13%
iter 1290: loss 1.8496 BPC, time 47.86ms, mfu 7.19%
iter 1300: loss 1.8723 BPC, time 48.25ms, mfu 7.25%
iter 1310: loss 1.7831 BPC, time 48.93ms, mfu 7.28%
iter 1320: loss 1.8799 BPC, time 49.53ms, mfu 7.31%
iter 1330: loss 1.8322 BPC, time 49.40ms, mfu 7.33%
iter 1340: loss 1.8718 BPC, time 49.23ms, mfu 7.35%
iter 1350: loss 1.8046 BPC, time 49.08ms, mfu 7.38%
iter 1360: loss 1.8249 BPC, time 50.31ms, mfu 7.38%
iter 1370: loss 1.8067 BPC, time 49.06ms, mfu 7.40%
iter 1380: loss 1.8179 BPC, time 49.66ms, mfu 7.41%
iter 1390: loss 1.7980 BPC, time 50.02ms, mfu 7.42%
iter 1400: loss 1.8157 BPC, time 50.64ms, mfu 7.41%
iter 1410: loss 1.7888 BPC, time 50.20ms, mfu 7.41%
iter 1420: loss 1.8276 BPC, time 50.22ms, mfu 7.41%
iter 1430: loss 1.7916 BPC, time 50.32ms, mfu 7.41%
iter 1440: loss 1.8100 BPC, time 50.05ms, mfu 7.42%
iter 1450: loss 1.7798 BPC, time 49.70ms, mfu 7.42%
iter 1460: loss 1.7934 BPC, time 51.52ms, mfu 7.40%
iter 1470: loss 1.7606 BPC, time 49.51ms, mfu 7.42%
iter 1480: loss 1.7516 BPC, time 50.94ms, mfu 7.41%
iter 1490: loss 1.7825 BPC, time 50.66ms, mfu 7.40%
step 1500: train loss 1.6597 BPC, val loss 2.1156 BPC
saving checkpoint to out-shakespeare-char
iter 1500: loss 1.7131 BPC, time 7354.73ms, mfu 6.67%
iter 1510: loss 1.7844 BPC, time 48.44ms, mfu 6.77%
iter 1520: loss 1.7780 BPC, time 50.59ms, mfu 6.83%
iter 1530: loss 1.8040 BPC, time 51.59ms, mfu 6.87%
iter 1540: loss 1.7198 BPC, time 52.40ms, mfu 6.89%
iter 1550: loss 1.7744 BPC, time 51.90ms, mfu 6.92%
iter 1560: loss 1.7448 BPC, time 52.13ms, mfu 6.94%
iter 1570: loss 1.7748 BPC, time 51.95ms, mfu 6.97%
iter 1580: loss 1.7390 BPC, time 51.59ms, mfu 6.99%
iter 1590: loss 1.7096 BPC, time 51.40ms, mfu 7.02%
iter 1600: loss 1.7265 BPC, time 51.70ms, mfu 7.04%
iter 1610: loss 1.7852 BPC, time 51.89ms, mfu 7.05%
iter 1620: loss 1.7100 BPC, time 51.33ms, mfu 7.07%
iter 1630: loss 1.7424 BPC, time 51.57ms, mfu 7.09%
iter 1640: loss 1.7357 BPC, time 52.92ms, mfu 7.08%
iter 1650: loss 1.7034 BPC, time 53.69ms, mfu 7.07%
iter 1660: loss 1.7587 BPC, time 52.33ms, mfu 7.07%
iter 1670: loss 1.7240 BPC, time 52.86ms, mfu 7.07%
iter 1680: loss 1.7283 BPC, time 52.31ms, mfu 7.08%
iter 1690: loss 1.7348 BPC, time 52.84ms, mfu 7.07%
iter 1700: loss 1.7071 BPC, time 51.19ms, mfu 7.09%
iter 1710: loss 1.7097 BPC, time 52.84ms, mfu 7.09%
iter 1720: loss 1.7036 BPC, time 52.66ms, mfu 7.09%
iter 1730: loss 1.7290 BPC, time 52.83ms, mfu 7.09%
iter 1740: loss 1.6804 BPC, time 52.18ms, mfu 7.09%
step 1750: train loss 1.5889 BPC, val loss 2.1143 BPC
saving checkpoint to out-shakespeare-char
iter 1750: loss 1.7112 BPC, time 7455.08ms, mfu 6.39%
iter 1760: loss 1.7189 BPC, time 49.93ms, mfu 6.49%
iter 1770: loss 1.7231 BPC, time 52.85ms, mfu 6.55%
iter 1780: loss 1.7241 BPC, time 53.81ms, mfu 6.59%
iter 1790: loss 1.7208 BPC, time 52.99ms, mfu 6.63%
iter 1800: loss 1.7108 BPC, time 52.64ms, mfu 6.68%
iter 1810: loss 1.6787 BPC, time 54.58ms, mfu 6.69%
iter 1820: loss 1.6889 BPC, time 53.27ms, mfu 6.72%
iter 1830: loss 1.6805 BPC, time 53.91ms, mfu 6.74%
iter 1840: loss 1.6697 BPC, time 53.59ms, mfu 6.76%
iter 1850: loss 1.6740 BPC, time 53.45ms, mfu 6.78%
iter 1860: loss 1.6889 BPC, time 54.16ms, mfu 6.79%
iter 1870: loss 1.6477 BPC, time 54.02ms, mfu 6.80%
iter 1880: loss 1.7019 BPC, time 53.22ms, mfu 6.82%
iter 1890: loss 1.7122 BPC, time 54.70ms, mfu 6.82%
iter 1900: loss 1.6241 BPC, time 53.57ms, mfu 6.84%
iter 1910: loss 1.6833 BPC, time 54.11ms, mfu 6.84%
iter 1920: loss 1.6838 BPC, time 54.04ms, mfu 6.85%
iter 1930: loss 1.6533 BPC, time 52.85ms, mfu 6.87%
iter 1940: loss 1.6304 BPC, time 53.82ms, mfu 6.87%
iter 1950: loss 1.6464 BPC, time 53.78ms, mfu 6.88%
iter 1960: loss 1.6631 BPC, time 54.53ms, mfu 6.87%
iter 1970: loss 1.6615 BPC, time 53.66ms, mfu 6.88%
iter 1980: loss 1.6533 BPC, time 54.92ms, mfu 6.87%
iter 1990: loss 1.6597 BPC, time 53.06ms, mfu 6.89%
step 2000: train loss 1.5239 BPC, val loss 2.1197 BPC
iter 2000: loss 1.6395 BPC, time 7579.56ms, mfu 6.20%
iter 2010: loss 1.6284 BPC, time 53.59ms, mfu 6.28%
iter 2020: loss 1.6166 BPC, time 55.06ms, mfu 6.33%
iter 2030: loss 1.6640 BPC, time 54.84ms, mfu 6.37%
iter 2040: loss 1.6600 BPC, time 53.81ms, mfu 6.43%
iter 2050: loss 1.6179 BPC, time 55.05ms, mfu 6.46%
iter 2060: loss 1.5943 BPC, time 54.54ms, mfu 6.50%
iter 2070: loss 1.6348 BPC, time 54.93ms, mfu 6.53%
iter 2080: loss 1.6258 BPC, time 54.15ms, mfu 6.56%
iter 2090: loss 1.6424 BPC, time 55.87ms, mfu 6.57%
iter 2100: loss 1.6359 BPC, time 55.35ms, mfu 6.59%
iter 2110: loss 1.6343 BPC, time 53.93ms, mfu 6.62%
iter 2120: loss 1.6300 BPC, time 55.32ms, mfu 6.63%
iter 2130: loss 1.6346 BPC, time 55.05ms, mfu 6.65%
iter 2140: loss 1.6396 BPC, time 55.12ms, mfu 6.66%
iter 2150: loss 1.6215 BPC, time 53.73ms, mfu 6.69%
iter 2160: loss 1.6499 BPC, time 55.62ms, mfu 6.69%
