
step 0: train loss 6.0601 BPC, val loss 6.0586 BPC
iter 880: loss 1.8588 BPC, time 323.09ms, mfu 7.24%
iter 890: loss 1.7841 BPC, time 321.97ms, mfu 7.26%
iter 900: loss 1.7920 BPC, time 318.21ms, mfu 7.28%
iter 910: loss 1.8473 BPC, time 312.84ms, mfu 7.32%
iter 920: loss 1.8116 BPC, time 325.23ms, mfu 7.32%
iter 930: loss 1.8311 BPC, time 314.54ms, mfu 7.34%
iter 940: loss 1.7802 BPC, time 329.86ms, mfu 7.33%
iter 950: loss 1.8483 BPC, time 304.66ms, mfu 7.38%
iter 960: loss 1.8284 BPC, time 326.07ms, mfu 7.37%
iter 970: loss 1.7649 BPC, time 310.93ms, mfu 7.40%
iter 980: loss 1.7566 BPC, time 308.48ms, mfu 7.44%
iter 990: loss 1.7981 BPC, time 327.66ms, mfu 7.42%
step 1000: train loss 1.7096 BPC, val loss 2.1722 BPC
saving checkpoint to out-shakespeare-char
iter 1000: loss 1.8051 BPC, time 38396.03ms, mfu 6.68%
iter 1010: loss 1.7532 BPC, time 320.12ms, mfu 6.76%
iter 1020: loss 1.7363 BPC, time 322.14ms, mfu 6.82%
iter 1030: loss 1.7613 BPC, time 306.99ms, mfu 6.92%
iter 1040: loss 1.6898 BPC, time 321.57ms, mfu 6.97%
iter 1050: loss 1.7184 BPC, time 310.62ms, mfu 7.04%
iter 1060: loss 1.6852 BPC, time 319.13ms, mfu 7.08%
iter 1070: loss 1.7240 BPC, time 326.21ms, mfu 7.10%
iter 1080: loss 1.7442 BPC, time 319.48ms, mfu 7.14%
iter 1090: loss 1.7376 BPC, time 319.88ms, mfu 7.17%
iter 1100: loss 1.7647 BPC, time 321.92ms, mfu 7.20%
iter 1110: loss 1.6938 BPC, time 325.28ms, mfu 7.21%
iter 1120: loss 1.7154 BPC, time 293.94ms, mfu 7.30%
iter 1130: loss 1.7441 BPC, time 314.81ms, mfu 7.33%
iter 1140: loss 1.7167 BPC, time 292.05ms, mfu 7.41%
iter 1150: loss 1.6573 BPC, time 325.68ms, mfu 7.40%
iter 1160: loss 1.6882 BPC, time 322.19ms, mfu 7.40%
iter 1170: loss 1.7155 BPC, time 325.27ms, mfu 7.39%
iter 1180: loss 1.6854 BPC, time 309.44ms, mfu 7.42%
iter 1190: loss 1.6969 BPC, time 329.50ms, mfu 7.41%
iter 1200: loss 1.6557 BPC, time 311.73ms, mfu 7.43%
iter 1210: loss 1.6623 BPC, time 328.34ms, mfu 7.41%
iter 1220: loss 1.6978 BPC, time 316.28ms, mfu 7.43%
iter 1230: loss 1.6204 BPC, time 326.56ms, mfu 7.41%
iter 1240: loss 1.7036 BPC, time 322.37ms, mfu 7.41%
step 1250: train loss 1.5788 BPC, val loss 2.1456 BPC
saving checkpoint to out-shakespeare-char
iter 1250: loss 1.6742 BPC, time 38907.67ms, mfu 6.68%
iter 1260: loss 1.6674 BPC, time 301.72ms, mfu 6.80%
iter 1270: loss 1.6443 BPC, time 311.54ms, mfu 6.88%
iter 1280: loss 1.6127 BPC, time 316.99ms, mfu 6.95%
iter 1290: loss 1.6203 BPC, time 319.75ms, mfu 7.00%
iter 1300: loss 1.6747 BPC, time 300.03ms, mfu 7.09%
iter 1310: loss 1.6604 BPC, time 322.20ms, mfu 7.12%
iter 1320: loss 1.6140 BPC, time 306.35ms, mfu 7.19%
iter 1330: loss 1.6057 BPC, time 318.79ms, mfu 7.22%
iter 1340: loss 1.6164 BPC, time 293.17ms, mfu 7.31%
iter 1350: loss 1.6368 BPC, time 319.42ms, mfu 7.33%
iter 1360: loss 1.5832 BPC, time 312.91ms, mfu 7.35%
iter 1370: loss 1.5454 BPC, time 322.54ms, mfu 7.36%
iter 1380: loss 1.6079 BPC, time 316.14ms, mfu 7.38%
